,frame.time_epoch,action_code,frame.len_per_sec,camera,instance_ID
153,1724343773,1,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
154,1724343774,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
155,1724343775,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
156,1724343776,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
157,1724343777,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
158,1724343778,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
159,1724343779,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
160,1724343780,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
161,1724343781,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
162,1724343782,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
163,1724343783,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
164,1724343784,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
165,1724343785,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
166,1724343786,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
167,1724343787,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
168,1724343788,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
169,1724343789,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
170,1724343790,2,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
171,1724343791,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
172,1724343792,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
173,1724343793,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
174,1724343794,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
175,1724343795,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
176,1724343796,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
177,1724343797,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
178,1724343798,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
179,1724343799,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
180,1724343800,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
181,1724343801,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
182,1724343802,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
183,1724343803,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
184,1724343804,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
185,1724343805,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
186,1724343806,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
187,1724343807,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
188,1724343808,3,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
189,1724343809,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
190,1724343810,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
191,1724343811,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
192,1724343812,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
193,1724343813,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
194,1724343814,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
195,1724343815,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
196,1724343816,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
197,1724343817,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
198,1724343818,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
199,1724343819,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
200,1724343820,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
201,1724343821,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
202,1724343822,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
203,1724343823,2,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
204,1724343824,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
205,1724343825,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
206,1724343826,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
207,1724343827,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
208,1724343828,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
209,1724343829,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
210,1724343830,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
211,1724343831,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
212,1724343832,0,0.0,"galayou, enter frame 10 secs, re-enter for 30 secs, wait 15 secs between",QB6AjsnSeTF6LtjKKHKgKD
